Round    1, temp = 200.000000, fitness =  44
Round    2, temp = 196.000000, fitness =  44
Round    3, temp = 192.080000, fitness =  44
Round    4, temp = 188.238400, fitness =  44
Round    5, temp = 184.473632, fitness =  45
Round    6, temp = 180.784159, fitness =  45
Round    7, temp = 177.168476, fitness =  44
Round    8, temp = 173.625107, fitness =  45
Round    9, temp = 170.152605, fitness =  44
Round   10, temp = 166.749552, fitness =  44
Round   11, temp = 163.414561, fitness =  45
Round   12, temp = 160.146270, fitness =  45
Round   13, temp = 156.943345, fitness =  44
Round   14, temp = 153.804478, fitness =  45
Round   15, temp = 150.728388, fitness =  44
Round   16, temp = 147.713821, fitness =  44
Round   17, temp = 144.759544, fitness =  44
Round   18, temp = 141.864353, fitness =  44
Round   19, temp = 139.027066, fitness =  44
Round   20, temp = 136.246525, fitness =  45
Round   21, temp = 133.521594, fitness =  44
Round   22, temp = 130.851162, fitness =  44
Round   23, temp = 128.234139, fitness =  45
Round   24, temp = 125.669456, fitness =  45
Round   25, temp = 123.156067, fitness =  44
Round   26, temp = 120.692946, fitness =  44
Round   27, temp = 118.279087, fitness =  44
Round   28, temp = 115.913505, fitness =  44
Round   29, temp = 113.595235, fitness =  45
Round   30, temp = 111.323330, fitness =  45
Round   31, temp = 109.096864, fitness =  45
Round   32, temp = 106.914927, fitness =  45
Round   33, temp = 104.776628, fitness =  45
Round   34, temp = 102.681096, fitness =  45
Round   35, temp = 100.627474, fitness =  45
Round   36, temp = 98.614924, fitness =  45
Round   37, temp = 96.642626, fitness =  45
Round   38, temp = 94.709773, fitness =  45
Round   39, temp = 92.815578, fitness =  44
Round   40, temp = 90.959266, fitness =  44
Round   41, temp = 89.140081, fitness =  44
Round   42, temp = 87.357279, fitness =  44
Round   43, temp = 85.610134, fitness =  45
Round   44, temp = 83.897931, fitness =  45
Round   45, temp = 82.219972, fitness =  44
Round   46, temp = 80.575573, fitness =  44
Round   47, temp = 78.964061, fitness =  44
Round   48, temp = 77.384780, fitness =  45
Round   49, temp = 75.837085, fitness =  45
Round   50, temp = 74.320343, fitness =  45
Round   51, temp = 72.833936, fitness =  45
Round   52, temp = 71.377257, fitness =  45
Round   53, temp = 69.949712, fitness =  45
Round   54, temp = 68.550718, fitness =  45
Round   55, temp = 67.179704, fitness =  44
Round   56, temp = 65.836109, fitness =  44
Round   57, temp = 64.519387, fitness =  44
Round   58, temp = 63.229000, fitness =  45
Round   59, temp = 61.964420, fitness =  45
Round   60, temp = 60.725131, fitness =  45
Round   61, temp = 59.510629, fitness =  45
Round   62, temp = 58.320416, fitness =  44
Round   63, temp = 57.154008, fitness =  44
Round   64, temp = 56.010927, fitness =  44
Round   65, temp = 54.890709, fitness =  44
Round   66, temp = 53.792895, fitness =  44
Round   67, temp = 52.717037, fitness =  44
Round   68, temp = 51.662696, fitness =  44
Round   69, temp = 50.629442, fitness =  44
Round   70, temp = 49.616853, fitness =  44
Round   71, temp = 48.624516, fitness =  44
Round   72, temp = 47.652026, fitness =  44
Round   73, temp = 46.698985, fitness =  44
Round   74, temp = 45.765006, fitness =  44
Round   75, temp = 44.849706, fitness =  44
Round   76, temp = 43.952712, fitness =  44
Round   77, temp = 43.073657, fitness =  44
Round   78, temp = 42.212184, fitness =  44
Round   79, temp = 41.367940, fitness =  45
